Name,total,views,db,allocations,retained,allocated,response_body,Builder
nothing,2465.0,138.97,33.35,1965507.0,560771.0,48463480.2,599678.0,Vanilla ActiveModel#to_json using OJ
nothing_oj,1611.0,0.18,29.44,1203834.9,350501.1,32197051.0,599678.0,Vanilla ActiveModel#to_json using OJ
nothing_map,2220.5,165.39,28.53,1664124.9,460548.8,36450933.0,599678.0,Maps a collection to a hash
nothing_map_oj,1834.6,0.14,29.32,1393770.7,380502.6,34206950.0,599678.0,Maps a collection to a hash and renders using OJ
asm,3237.6,0.29,29.33,2347003.9,671162.1,46875103.0,599678.0,ActiveModelSerializers with ActiveModel
asm_oj,3504.1,0.21,28.46,2504946.4,700663.2,55438222.8,599678.0,"ActiveModelSerializers with ActiveModel, optimized with OJ"
asm_exec_query,2092.6,0.2,28.74,1653988.7,480598.2,31037972.2,599678.0,ActiveModelSerializers from a hash via ActiveRecord.exec_query (no ActiveModel)
asm_exec_query_oj,2186.0,0.2,28.7,1813073.0,510411.1,39632615.0,599678.0,"ActiveModelSerializers from a hash via ActiveRecord.exec_query (no ActiveModel), optimized with OJ"
asm_execute,2192.2,0.2,28.46,1813105.4,510412.6,39632749.0,599678.0,"ActiveModelSerializers from a hash via ActiveRecord.execute (no ActiveModel), optimized with OJ"
asm_execute_oj,2134.6,0.2,29.31,1782938.8,500396.7,40089134.0,599678.0,"ActiveModelSerializers from a hash via ActiveRecord.execute (no ActiveModel), optimized with OJ"
fast,3385.2,0.2,28.03,2705016.9,760742.9,49305418.8,1008594.0,JSON:API Serializer an array of ActiveModel objects
fast_oj,2069.5,0.2,28.94,1653972.2,450521.7,40377677.0,1008594.0,"JSON:API Serializer with an array of ActiveModel objects, optimized with OJ"
fast_map,3852.8,339.95,29.61,3194513.2,910581.8,69512553.0,1098585.0,"JSON:API Serializer, mapped from an array of ActiveModel objects"
fast_map_oj,2398.8,0.2,29.73,1923883.4,530507.1,44946022.0,1098585.0,"JSON:API Serializer, mapped from an array of ActiveModel objects, optimized with OJ"
fast_exec_query,1389.1,143.61,29.42,1173371.8,310470.0,23378624.8,599678.0,JSON:API Serializer from a hash via ActiveRecord.exec_query (no ActiveModel)
fast_exec_query_oj,3398.3,0.2,28.79,2903819.7,820586.3,62453464.7,1098585.0,"JSON:API Serializer from a hash via ActiveRecord.exec_query (no ActiveModel), optimized with OJ"
fast_execute,3240.8,0.2,28.45,2712914.7,770398.4,46978479.0,1098585.0,JSON:API Serializer from a hash via ActiveRecord.execute (no ActiveModel)
fast_execute_oj,1712.9,0.2,28.98,1442804.4,390390.9,32658003.0,1098585.0,"JSON:API Serializer from a hash via ActiveRecord.execute (no ActiveModel), optimized with OJ"
jbuilder,2112.0,0.14,29.73,1724341.0,480528.8,32219243.8,599678.0,Jbuilder from an array of ActiveModel objects
jbuilder_map_oj,2080.7,0.17,30.52,1724336.9,480530.2,32919115.0,699680.0,"Jbuilder from an array of ActiveModel objects, optimized with OJ"
turbostreamer_oj,1338.6,0.22,28.72,975937.3,270877.6,20878850.6,599679.0,TurboStreamer from an array of ActiveModel objects with OJ
turbostreamer_wankel,1385.5,0.2,27.99,1044638.7,280617.4,21192540.7,559678.0,TurboStreamer from an array of ActiveModel objects with Wankel
execute,1353.5,0.12,30.01,1142735.4,300392.2,18639328.0,599678.0,Hash#to_json via ActiveRecord.execute (no ActiveModel)
execute_oj,481.4,0.2,29.46,322580.5,70385.1,6678735.0,559678.0,"Hash#to_json via ActiveRecord.execute (no ActiveModel), optimized with OJ"
execute_map,1480.0,0.18,29.21,1262754.5,340393.7,21599432.0,599678.0,Array of hashes mapped from ActiveRecord.execute (no ActiveModel)
execute_map_oj,1173.8,0.13,29.13,992675.4,260387.1,24478947.0,599678.0,"Array of hashes mapped from ActiveRecord.execute (no ActiveModel), optimized with OJ"
exec_query,1356.0,0.15,29.16,1172886.8,310407.4,18173189.0,599678.0,Hash#to_json from ActiveRecord.exec_query (no ActiveModel)
exec_query_oj,515.3,0.17,30.22,352731.1,80400.0,6212564.0,559678.0,"Hash#to_json from ActiveRecord.exec_query (no ActiveModel), optimized with OJ"
exec_query_map,1490.9,0.15,30.0,1292902.2,350408.4,21133233.0,599678.0,Array of hashes mapped from ActiveRecord.exec_query (no ActiveModel)
exec_query_map_oj,1215.5,0.14,29.06,1022840.7,270402.6,24012820.0,599678.0,"Array of hashes mapped from ActiveRecord.exec_query (no ActiveModel), optimized with OJ"
pg,287.2,0.15,89.46,4948.5,401.6,746112.0,691818.0,PostgreSQL json_agg and json_build_object
